iter	Passed	Remaining
405	8215	12020
406	8236	12000
407	8255	11979
408	8276	11959
409	8298	11941
410	8318	11921
411	8338	11900
412	8359	11880
413	8378	11859
414	8397	11837
415	8418	11818
416	8438	11797
417	8457	11775
418	8475	11752
419	8494	11729
420	8514	11709
421	8534	11690
422	8553	11667
423	8573	11647
424	8593	11626
425	8612	11604
426	8631	11583
427	8651	11561
428	8670	11540
429	8689	11518
430	8708	11496
431	8728	11476
432	8749	11457
433	8768	11435
434	8787	11413
435	8807	11393
436	8830	11376
437	8849	11354
438	8867	11332
439	8887	11310
440	8906	11289
441	8926	11269
442	8949	11252
443	8969	11232
444	8989	11211
445	9009	11191
446	9029	11170
447	9047	11148
448	9067	11127
449	9086	11106
450	9106	11085
451	9130	11069
452	9151	11049
453	9170	11028
454	9189	11007
455	9210	10988
456	9230	10967
457	9250	10946
458	9268	10924
459	9288	10903
460	9309	10884
461	9328	10862
462	9347	10841
463	9369	10823
464	9390	10804
465	9410	10783
466	9429	10761
467	9448	10740
468	9467	10719
469	9486	10698
470	9507	10678
471	9526	10656
472	9545	10634
473	9564	10613
474	9585	10594
475	9608	10576
476	9627	10556
477	9646	10534
478	9666	10513
479	9685	10492
480	9705	10472
481	9724	10450
482	9743	10429
483	9762	10407
484	9782	10387
485	9805	10369
486	9824	10349
487	9843	10327
488	9862	10306
489	9882	10285
490	9903	10266
491	9921	10244
492	9940	10223
493	9959	10201
494	9979	10180
495	10005	10166
496	10031	10152
497	10052	10133
498	10073	10114
499	10095	10095
500	10118	10078
501	10143	10062
502	10169	10048
503	10194	10033
504	10222	10020
505	10249	10006
506	10270	9986
507	10290	9966
508	10314	9949
509	10336	9930
510	10357	9911
511	10379	9893
512	10400	9873
513	10420	9852
514	10445	9837
515	10469	9819
516	10489	9799
517	10509	9779
518	10530	9759
519	10550	9738
520	10570	9718
521	10590	9698
522	10611	9678
523	10630	9657
524	10650	9636
525	10670	9615
526	10694	9598
527	10715	9578
528	10735	9558
529	10754	9537
530	10774	9516
531	10793	9494
532	10812	9473
533	10832	9452
534	10852	9432
535	10872	9412
536	10892	9391
537	10913	9371
538	10933	9351
539	10954	9331
540	10974	9311
541	10994	9290
542	11014	9269
543	11033	9248
544	11054	9228
545	11073	9207
546	11093	9186
547	11114	9167
548	11136	9148
549	11156	9128
550	11176	9107
551	11195	9086
552	11215	9066
553	11236	9045
554	11256	9025
555	11275	9003
556	11294	8983
557	11314	8962
558	11334	8941
559	11357	8923
560	11377	8903
561	11398	8883
562	11417	8862
563	11436	8841
564	11456	8820
565	11476	8800
566	11497	8780
567	11516	8759
568	11535	8738
569	11555	8717
570	11576	8697
571	11598	8678
572	11617	8657
573	11636	8636
574	11656	8615
575	11677	8595
576	11696	8574
577	11714	8552
578	11735	8533
579	11754	8512
580	11774	8491
581	11796	8472
582	11816	8452
583	11837	8431
584	11856	8411
585	11877	8391
586	11897	8370
587	11916	8349
588	11936	8329
589	11956	8308
590	11975	8287
591	11997	8268
592	12019	8249
593	12040	8229
594	12059	8208
595	12113	8211
596	12149	8201
597	12168	8180
598	12189	8160
599	12210	8140
600	12232	8121
601	12257	8103
602	12281	8085
603	12306	8068
604	12328	8049
605	12350	8030
606	12373	8011
607	12397	7992
608	12420	7974
609	12443	7955
610	12475	7942
611	12497	7923
612	12520	7904
613	12540	7883
614	12561	7863
615	12582	7843
616	12603	7823
617	12623	7802
